B2,𓁑,Pregnant woman,Det. pregnant
B3,𓁒,Woman giving birth,"Det. and Ideo.msi“give birth, bear.”"
B4,𓁓,Var. B3,Use as B3.
B5,𓁔,Woman nursing child,Det.mnʿt“nurse.”
B6,𓁖,Woman and seated child,Det.rnn“nurse.”
B7,𓁗,Seated queen holding flower,Det. queens’ names.
C1,𓁚,God with sun-disk and uraeus,"Det. and Ideo. Rʿ “Re, sun-god”"
C2,𓁜,God with falcon head and sun-disk holding ʿnḫ,"Var. C1. Det. and Ideo. Rʿ “Re, sun-god”"
C3,𓁟,God with ibis head,Det. or Ideo. ḏḥwty “Thoth”
C4,𓁠,God with ram head,Det. or Ideo. ẖnmw “Khnum”
C5,𓁡,God with ram head holding ʿnḫ,Use as C4.
C6,𓁢,God with jackal head,"Det. and Ideo. inpw “Anubis,” wp-w3wt “Wepwawet.”"
C7,𓁣,God with Seth head,Det. and Ideo. Stḫ “Seth.”
C8,𓁤,Min,Det. and Ideo. Mnw “Min.”
C9,𓁥,Goddess with horned sun-disk,Det. and Ideo.
C10,𓁦,God with feather,Det. and Ideo. M3ʿt “Maat”
C10a,𓁧,Goddess with feather holding ʿnḫ,Use as C10
C11,𓁨,ḥḥ-figure,"Ideo. ḥḥ “million,” god Heh."
C12,𓁩,Amun,Det. and Ideo. Imn “Amun.”
C17,𓁮,Montu,Det. and Ideo Mntw “Montu.”
C18,𓁯,Tatjenen,Det. and Ideo. t3-ṯnnii “Tatjenen.”
C19,𓁰,Ptah,Det. and Ideo. Ptḥ “Ptah.”
C20,𓁱,Variant C19,Use as C19
D1,𓁶,Head,"Phono.tp. Det. or Ideo. fortp“head,”tpy“first, chief.” Det.ḏ3ḏ3“head.”"
D2,𓁷,Face,Phon.ḥr. Ideo. forḥr“face.”
D3,𓁸,Hair,"Det. foršny“hair,”iwn“complexion, nature.” Abbr. forgm wš“found missing.”"
D4,𓁹,Eye,"Phono.iri“to do, make.” Ideo. forirt“eye.”"
D5,𓁺,Eye with paint,"Det. for actions or conditions of the eye. ex.dgi“look,”šp“blind.”"
D6,𓁻,Eye with paint,Use as D5.
D7,𓁼,Eye with paint,Det. for adorn and in ʿnw ” “Anu” (location).
D8,𓁽,Eye enclosed,"Det. forʿnw“Turah,”ʿn“beautiful.”"
D9,𓁿,Eye weeping,Det. or Ideo. forrmi“weep.”
D10,𓂀,Eye with falcon’s head marking,Det. or Ideo. forw3ḏt“wedjat eye.”
D11,𓂁,White part of w3ḏt eye,1/2 ḥeqat measure of grain.
D12,𓂂,Eye pupil,Det. forḏfd“pupil of eye.”
D13,𓂃,Eyebrow,1/8 ḥeqat measure of grain.
D14,𓂄,White part of w3ḏt eye,1/16 ḥeqat measure of grain.
D15,𓂅,Part of w3ḏt eye markings,1/32 ḥeqat measure of grain.
D16,𓂆,Part of w3ḏt eye markings,1/64 ḥeqat measure of grain.
D17,𓂇,Markings of w3ḏt eye,"Det. or Ideo. fortit“figure, image.”"
D18,𓂈,Ear,Det. or Ideo. formsḏr“ear.”
D19,𓂉,"Eye, nose, and cheek","Det. or Ideo. forfnd“nose.” Det.sn“smell,”rš“rejoice.”"
D20,𓂊,Var. D19,Use as D19
D21,𓂋,Mouth,Phon.r. Ideo. forr“mouth.”
D22,𓂌,Mouth with two lines,Ideo. forrwy“2/3.”
D23,𓂍,Mouth with three lines,Ideo. forḫmt rw“3/4.”
D24,𓂎,Upper lip with teeth,Det. or Ideo. forspt“lip.” Mistakenly used a F42.
D25,𓂏,Lips with teeth,Det. or Ideo. forspty“lips.”
D26,𓂐,Lips spewing water,"Det. for spit, spew. ex.psg“spit,”ḳʿ“spew out.”"
D27,𓂑,Breast,"Det. for breast, suckle. ex.mnḏ“breast”"
D27a,𓂒,Var. of D27,Use as D27.
D28,𓂓,Two arms,Phono.k3. Ideo. fork3“soul.”
D29,𓂔,Var. of D28,Use as D28.
D30,𓂕,Two arms with tail,"Det. fornḥb-k3w“Uniter of Attributes, Assigner of Kas,” name of mythical serpent deity."
D31,𓂖,Combination of signs D32 and U36,Ideo. forḥm-k3“ka servent.”
D32,𓂘,Two arms embracing,"Det. for embrace, open. ex.inḳ“envelop,” ḥpt “embrace.”"
D33,𓂙,Arms holding oar,Phono.ẖn. Ideo. forẖni“row.”
D34,𓂚,Arms with shield and axe,Ideo. forʿḥ3“fight”
D34a,𓂛,Arms with shield and mace,Use as D34.
D35,𓂜,Negative arms,"Phono.n. Ideo. fornandnn, “not.” Det. negation."
D36,𓂝,Arm,"Phono.ʿ. Ideo.ʿ“arm, hand.”"
D37,𓂞,Arm holding sign X8,Phono.diinrdi“give.”
D38,𓂟,Arm holding bread,Phono.miorm. Det. forimi“give.”
D39,𓂠,Arm holding W24,"Det. for offer, present. ex.ḥnk“present,”drp“offer.”"
D40,𓂡,Arm holding stick,"Det. for force, effort. ex.nḫt“strong.” Ideo.h3i“evaluate.”"
D41,𓂢,Arm with downward facing palm,"Phono.ni. Det. for arm. ex.rmn“arm, shoulder.”"
D42,𓂣,Arm with downward facing palm,Det. or Ideo. formḥ“cubit”
D43,𓂤,Arm with flail,Phono.ḫw. Ideo. forḫwi“protect.
D44,𓂥,Arm with scepter,"Det. and Ideo. forḫrp“control, be at head of, administer.”"
D45,𓂦,Arm with brush,"Det. and Ideo. forḏsr“clear road, sacred, holy.”"
D46,𓂧,Hand,Phono.d. Ideo. forḏrt“hand.”
D46a,𓂨,Hand with water,Ideo. foridt“fragrance.”
D47,𓂩,Hand,Det. forḏrt“hand” when spelled with Phono.
D48,𓂪,Palm without thumb,"Ideo.šsp“palm, hand-breadth” (measure)"
D49,𓂬,Fist,"Det. for grasp. ex.3mm“grasp,”ḫfʿ“seize.”"
D50,𓂭,Vertical finger,"Ideo. forḏbʿ“finger,”ḏbʿ“10,000.” Det. for accurate, when doubled."
D51,𓂷,Horizontal finger,"Det. for actions related to finger, fruit, flower. ex.ʿnt“nail,”ḫ3i“measure,”dḳr“fruit.”"
D52,𓂸,Penis,"Phono.mt. Det. for male. ex.ʿ3“ass,”ṯ3y“male.” Ideo.k3“bull.”"
D53,𓂺,Penis with liquid,"Det. for male, penis. ex.m b3ḥ“in the presence of”ḏr b3ḥ“since,”r b3ḥ“before.”"
D54,𓂻,Legs walking,Phono.iwiniwi“come.” Det. for motion.
D55,𓂽,Legs walking (reverse of D54),"Det. for backwards. ex.ʿnn“turn back,”ḫtḫt“be reversed.”"
D56,𓂾,Leg,"Phono.pd. Det. for leg, foot. ex.rd“leg,”pd“knee.”"
D57,𓂿,Leg with T30,Det. for mutilate. ex.i3ṯ“be mutilated.”
D58,𓃀,Foot,Phono.b. Ideo. forbw“place.”
D59,𓃁,Foot with D36,Phono.ʿb
D60,𓃂,Foot with water streaming,"Ideo. forwʿb“pure, clean.”"
D61,𓃃,Toes,Ideo. fors3ḥ“toe”
D62,𓃄,Var. D61,Use as D61.
D63,𓃅,Var. D61,Use as D61.
E1,𓃒,Bull,"Det. of cattle. ex.ng“bull,”mnmnt“cattle.” Ideo. ink3“bull.”"
E2,𓃓,Bull preparing to charge,"Det. insm3“fighting bull.” Ideo. ink3 nḫt“victorious bull,” (epithet of Pharaoh.)"
E3,𓃔,Calf,Det. inbḥs“calf”
E4,𓃕,Sacred cow,Det. inḥs3t“sacred cow.”
E5,𓃖,Cow with calf,Det. in3ms“show solicitude.”
E6,𓃗,Horse,Ideo. or Det. inssmt“horse.” Det. inibr“stallion.”
E7,𓃘,Donkey,Det. inʿ3“donkey.”
E8,𓃙,Kid,"Phon.ib, “kid.” Det. inʿwt“flocks.”"
E9,𓃚,Newborn bubalis,Phon.iw. Iniwr“conceive.”
E10,𓃛,Ram,"Det. inb3“ram,” ẖnmw “Khnum,”ʿwt ḥḏt“white flocks, sheep”"
E11,𓃞,Ram,Use as E10
E12,𓃟,Pig,Det. inrri“pig.”
E13,𓃠,Cat,Det. inmiw“cat.”
E14,𓃡,Dog,"Det. iniw“dog,”ṯsm“hound.”"
E15,𓃢,Recumbent Jackal,"Det. or Ideo. inInpw, “Anubis.”"
E16,𓃣,Recumbent Jackal on shrine,Use as E15.
E17,𓃥,Jackal,Det. or Ideo. ins3b“jackal” and “dignitary.”
E18,𓃧,Jackal on standard R12,"Det. or Ideo. inWp-w3wt“Opener of ways, Wepwawet.”"
E19,𓃨,O.K. form of last,Use as E18
E20,𓃩,Seth animal,"Det. or Ideo. instẖ,stš“Seth.” Det. inẖnnw“turmoil,”sh3“confusion.”"
E21,𓃫,Recumbent Seth animal,"Det. innšni“storm, rage.”"
E22,𓃬,Lion,Det. or Ideo. inm3i“lion”
E23,𓃭,Recumbent Lion,Phon.rw. Det. or Ideo. inrw“lion.”
E24,𓃮,Panther,"Det. or Ideo. in3by“panther, leopard.”"
E25,𓃯,Hippopotamus,"Det. indb,dib“hippopotamus.”"
E26,𓃰,Elephant,Det.3bw“elephant.” Ideo. in3bw“Elephantine.”
E27,𓃱,Giraffe,Det.sr“foretell.” Det. or Ideo inmmi“giraffe.”
E28,𓃲,Oryx,Det. inm3ḥḏ“oryx.”
E29,𓃴,Gazelle,Det. ingḥs“gazelle.”
E30,𓃵,Ibex,"Det. inn3w,nr3w,ni3“ibex.”"
E31,𓃶,Goat with collar,"Det. insʿḥ“rank, privilege.”"
E32,𓃷,Baboon,"Det. iniʿn“baboon,”ky“monkey,”qnd“furious.”"
E33,𓃸,Monkey,"Det.gf,gif“monkey.”"
E34,𓃹,Hare,Phono.wn.wnn“be.”
F1,𓃾,Head of ox,Ideo. in offering formulas fork3“cattle.”
F2,𓄀,Head of charging ox,Det. inḏnd“rage.”
F3,𓄁,Head of hippopotamus,"Phono.3t. Det. or Ideo. in “moment, attack.”"
F4,𓄂,Forepart of lion,"Ideo. inḥ3t“front,”ḥ3ty“heart.”"
F5,𓄃,Head of bubalis,Phon.šs3. Det. and Ideo. inšs3“skilled” and “prayer.”
F6,𓄄,Forepart of bubalis,Use as F5
F7,𓄅,Head of ram,"Det. inšft“ram’s head.” Det. or Ideo. inšfyt“worth, dignity.”"
F8,𓄆,Forepart of ram,Use as F7
F9,𓄇,Head of leopard,Det. or Ideo. inpḥty“strength.”
F10,𓄈,Head and neck of animal,"Det. inḫḫ“throat,”ʿm“swallow.”"
F11,𓄉,O.K. form of F10,Use as F10
F12,𓄊,Head and neck of jackal,Phon.wsr. Ideo inwsrt“neck.” Inwsr“powerful”
F13,𓄋,Horns of ox,"Phon.wp. Ideo. inwpt“brow, beginning.”"
F14,𓄍,Combination of F13 and M4,Ideo.wpt-rnpt“Opening of the Year.”
F15,𓄎,Combination of F14 and N5,Use as F14
F16,𓄏,Horn,"Phono. ʿb. Det. or Ideo. in db “horn,” ʿb “horn.” In m-ʿb “together with.”"
F17,𓄐,Combination of F16 and D60 water vessel,Det. or Ideo. inʿbw“purification.”
F18,𓄑,Tusk of elephant,"Phono.bḥ,ḥw. Det. and Ideo. inibḥ“tooth.” Det. insbḥ“cry.”"
F19,𓄒,Jawbone of ox,Det. inʿrt“jaw.”
F20,𓄓,Tongue,Phono.ns. Inns“tongue.” Ideo. inimy-r“overseer.”
F21,𓄔,Ear of ox,"Phono.sḏm,idn. Det. or Ideo. inmsḏr“ear. Ideo.sḏm, “hear.”"
F22,𓄖,Hindquarters of leopard or lion,"Phono.pḥin “reach,”pḥty“strength.” Ideo. forpḥwy“end.”"
F23,𓄗,Foreleg of ox,"Det. or Ideo. inḫpš“strong arm, leg.”"
F24,𓄘,Reverse of F23,Use as F23.
F25,𓄙,Leg and hoof of ox,"Phono.wḥmin “hoof,” “repeat.”"
F26,𓄚,Goatskin,"Phono.ẖn. Inẖnw“interior,”ẖn“approach.”"
F27,𓄛,Cowskin,"Det. indḥr“hide,”msk3“skin.”"
F28,𓄜,Var. of F27,Phono.s3b.
F29,𓄝,Combination of F28 + arrow,"Phono.st. Det. and Ideo.sti“pierce, shoot.”"
F30,𓄞,Water skin,"Phono.šd. Inšdi“draw forth,”šdw“water skin.”"
F31,𓄟,Three fox skins,Phono.ms. Inmsi“give birth.”
F32,𓄡,Animal belly and tail,"Phono.ẖ. Ideo. inẖt“belly, body.”"
F33,𓄢,Tail,Phono.sd. Det. and Ideo insd“tail.”
F34,𓄣,Heart,Ideo. inib“heart.” Det. of ”ḥ3ty“heart.”
F35,𓄤,Heart and windpipe,"Phono.nfr. Innfr“good, beautiful.”"
F36,𓄥,Lung and windpipe,Phono.sm3. Insm3“unite” and “lung.”
F37,𓄦,Backbone and ribs,Det. or Ideo. ini3t“back.” Det. inpsd“back.”
F38,𓄨,Var. of F37,Det. inpsd“back.”
F39,𓄪,Backbone and spinal cord,Det. and Ideo. inim3ḫ“spine” and “honor.”
F40,𓄫,Backbone and spinal cord at each end,Phono.3w.
F41,𓄬,Vertebrae,Det. inpsd“back.”
F42,𓄭,Rib,Phono.spr. Inspr“approach.”
F43,𓄮,Ribs,Det. insḥpt“ribs.”
F44,𓄯,Leg bone with meat,"Phono.iwʿ,isw. Iniwʿinherit,”siw“exchange.”"
F45,𓄰,Heifer uterus,"Det. or Ideo. indit“vulva, cow.”"
F46,𓄲,Intestine,"Ideo. inq3b“instestine,”m-q3b“in the midst of” pḫr “turn.”"
F47,𓄴,Var. of F46,Use as F46.
F48,𓄶,Var. of F46,Use as F46.
F49,𓄷,Var. of F46,Use as F46.
F50,𓄸,Combination of F46 and S29,"Phono.spḫr, “write, copy.”"
F51,𓄹,Piece of flesh,"Phono.is,ist,ws. Det.ḥʿ“flesh,”iwf“meat.”"
F52,𓄽,Excrement,Det. inḥs“excrement.”
G1,𓄿,Vulture,Phono.3. In3“vulture.’
G2,𓅀,Two Vultures,Phono33. Inm33“see.”
G3,𓅁,Combination of G1 + U1,Phono. inm3. Insm3wy“renew.”
G4,𓅂,Buzzard,Phono.tyw.
G5,𓅃,Falcon,Ideo.ḥrw“Horus.”
G6,𓅄,Falcon with flail,De.t inbik“falcon.”
G7,𓅆,Falcon on standard,"Det.imn“Amun,”nsw“king,” divine. 1st sing. pro.i,wi, with divine speaker."
G7a,𓅇,"Var of G7, Falcon in boat",Ideo.nmty“Nemty”
G7b,𓅈,"Var of G7, G7a",Use as G7a.
G8,𓅉,Combination of G5 + S12,Ideo.Hr/bik nbw“Golden Horus/falcon.”
G9,𓅊,Falcon with sun disk,Ideo. inrʿ-ḥrw-3ḫty“Re-Horakhty.”
G10,𓅋,Falcon in sacred bark,"Det. inskr“Sokar,”ḥnw“Sokar bark.”"
G11,𓅌,Falcon image,"Det. inʿšm,ʿẖm,ʿḫm“divine image,”šnbt“breast.”"
G12,𓅎,Falcon image with flail,Use as G11.
G13,𓅏,Falcon image with S9,Ideo.ḥrw nḫny“Horus of Hierakonopolis.” Det. inspdw“Sopdu.”
G14,𓅐,Vulture,"Phono.mwt,mt. Inmwt“mother.”"
G15,𓅑,Vulture with flail,Det. inmwt“Mut.”
G16,𓅒,Nehkbet and Edjo,Ideo. innbty“Two Ladies” (title of Pharaoh)
G17,𓅓,Owl,Phono.m.
G18,𓅔,Two Owls,Phono.mm.
G19,𓅕,Combination of G17 + D37,"Phono.mi,m."
G20,𓅖,Combination of G17 + D36,Use as G19.
G21,𓅘,Guinea fowl,Phono.nḥ. Innḥḥ“eternity.”
G22,𓅙,Hoopoe,Phono.ḏb/ḏbt.
G23,𓅚,Lapwing,Det. and Ideo. inrḫyt“commoners.”
G24,𓅛,Var. of G23,Use as G23.
G25,𓅜,Crested Ibis,Phono.3ḫ. In “spirit.”
G26,𓅝,Sacred ibis on standard,Det. inḏḥwty“Thoth.”
G26a,𓅞,Sacred ibis,Use as G26.
G27,𓅟,Flamingo,"Phono.dšr. Indšr“red,” “flamingo.”"
G28,𓅠,Black ibis,Phono.gm. Ingmi“find.”
G29,𓅡,Jabiru,Phono.b3. In “soul.”
G30,𓅢,Three jabirus,"Ideo. inb3w“spirits, strength.”"
G31,𓅣,Heron,Det. inšnty“heron.”
G32,𓅤,Heron on perch,Det. or Ideo. inbʿḫi“inundated.”
G33,𓅥,Egret,Det.sd3“tremble.”
G34,𓅦,Ostrich,Det. inniw“ostrich.”
G35,𓅧,Cormorant,Phono.ʿq. Inʿq“enter.”
G36,𓅨,Swallow,Phono.wr. Inwr“great.”
G37,𓅪,Sparrow,"Det. innḏs“small,”bin“bad.”"
G38,𓅬,Goose,"Phono.gb. Ingb“Geb.” Det. inwf3“talk,”wsf“idle,”ḥtm“perish.”"
G39,𓅭,Duck,Phono.s3. Ins3“son.” Det. insi“duck.”
G40,𓅮,Duck flying,"Phono.p3. Inp3“the,” “fly.”"
G41,𓅯,Duck landing,"Phono.ḫn. Inḫni“alight, halt,”ḫn“speech,”qm3“throw,” “create.”"
G42,𓅰,Fattened bird,"Det. and Ideo. inwš3“fatten,”ḏf3w“provisions.”"
G43,𓅱,"Quail chick, var. Z7",Phono.w.
G44,𓅳,Two quail chicks,Phono.ww. Inpḥww“end.”
G45,𓅴,Combination of G43 + D36,Phonowʿ.Inwʿw“soldier.”
G46,𓅶,Combination of G43 + U1,Phono.m3w.
G47,𓅷,Duckling,Phono.ṯ3. Inṯ3y“male.”
G48,𓅸,Three ducklings in nest,Ideo. insš“nest.”
G49,𓅹,Ducks’ heads protruding from pool,Det. or Ideo. insš“nest.”
G50,𓅺,Two plovers,Ideo. forrḫty“washerman.”
G51,𓅻,Bird pecking fish,Det. inḥ3m“catch fish.”
G52,𓅼,Goose feeding,Det. insnm“feed.”
G53,𓅽,Human headed bird,Ideo. inb3“soul.”
G54,𓅾,Plucked bird,Phono.snḏ. Insnḏ“fear.”
H1,𓅿,Head of duck,Ideo. in3pd“bird.” Det. inwšn“wring the neck of birds.”
H2,𓆀,Head of crested bird,"Phono.m3ʿ,wšm,p3q. Det. inm3ʿ“temple of the head,” “true.”"
H3,𓆁,Head of spoonbill,Phono.p3q.
H4,𓆂,Head of vulture,Phono.nr. Det. innrt“vulture.”
H5,𓆃,Wing,Det. inḏnḥ“wing.”
H6,𓆄,Feather,Phono.šw. Ideo. inšwt“feather.” Det. and Ideo. inm3ʿt“truth.”
H7,𓆆,Claw,"Phono.š3,š3t. Inš3t“Shat” (location)."
H8,𓆇,Egg,Ideo. ins3“son.” Det.sḥwt“egg.”
I1,𓆈,Lizard,"Phono.ʿš3. Det. for lizard. ex.ʿš3“lizard” andʿš3“many, numerous.”"
I2,𓆉,Turtle,Det. or Ideo. forštyw“turtle.”
I3,𓆊,Crocodile,"Det. or Ideo. for crocodile. ex.msḥ“crocodile,”3d“agressive.” Ideo.ity“sovereign,” when reduplicated"
I4,𓆋,Crocodile on shrine,Det.sbk“Sobek.”
I5,𓆌,Crocodile with curved tail,"Det. ins3q“collect, gather.”"
I6,𓆎,Crocodile scales,Phono.km. Inkmt“Egypt.”
I7,𓆏,Frog,Det. inḥqt“Heqet.” Ideo.wḥm ʿnḫ“repeating life.”
I8,𓆐,Tadpole,"Det.ḥfnr“tadpole.” Ideo.ḥfn“100,000.”"
I9,𓆑,Horned viper,Phono.f. Det. init“father.”
I10,𓆓,Cobra,Phono.ḏ.
I11,𓆕,Two cobras,Phonoḏḏ.
I12,𓆗,Erect cobra,Det. inʿirt“uraeus.” Det. of goddesses.
I13,𓆘,Combination of I12 + V30,Det. inw3ḏt“Wadjet.”
I14,𓆙,Snake,"Det.ḥf3w“snake, serpent.”"
I15,𓆚,Var. of I15,Use as I14.
K1,𓆛,Bulti fish,Phono.in. Inint“bulti.”
K2,𓆜,Barbel fish,Phono.bw. Inbwt“abomination.”
K3,𓆝,Mullet fish,Phono.ʿḏ. Inʿḏ-mr“district administrator.”
K4,𓆞,Oxyrhynchus fish,Phono.ẖ3. Inẖ3t“oxyrhynchus.”
K5,𓆟,Pike fish,Phono.bs. Det. inbsi“introduce.”
K6,𓆠,Fish scale,Det. and Ideo. innšmt“fish scale.”
K7,𓆡,Blowfish,Det.špt“discontented.”
L1,𓆣,Scarab beetle,"Phono.ḫpr. Inḫpr“being, exist, become."
L2,𓆤,Bee,Ideo. forbity“King of Lower Egypt.”
L3,𓆦,Fly,Det. inʿff“fly.”
L4,𓆧,Locust,Det. insnḥm“locust.”
L5,𓆨,Centipede,Det.sp3“centipede.”
L6,𓆩,Shell,Phonoḫ3. Inḫ3wt“offering table.”
L7,𓆫,Scorpion,Det. and Ideo. insrqt“Selket.”
M1,𓆭,Tree,"Phono.im3. Det.nhwt,mnw“trees.”"
M2,𓆰,Plant,"Phono.ḥn. Inḥni“rush,”ḥnw“vessel.” Det. inis“tomb.”"
M3,𓆱,Branch,"Phono.ḫt. Inḫt“wood,”ḫtyw“terrace,”nḫt“strong.”"
M4,𓆳,Stripped palm branch,"Ideo. inrnpt“year,”ḥsbt“regnal year.” Det. intr“time.”"
M5,𓆴,Combination of M4 + X1,"Det. or Ideo. intr“time, season.”"
M6,𓆵,Combination of M4 + D21,"Det. or Ideo. intr“time, season.”"
M7,𓆶,Combination of M4 + Q3,Det. or Ideo. inrnpi“young.”
M8,𓆷,Pool with lilies,Phonoš3. Inš3“marsh.” Ideo.3ḫt“Inundation” (season).
M9,𓆸,Lily,Det. or Ideo insšn“lily.”
M10,𓆹,Lily bud,Det. innḥbt“lily bud.”
M11,𓆻,Flower and stem,Det. or Ideo. inwdn“offer.”
M12,𓆼,Lily plant,"Phono.ḫ3. Inḫ3w nw sšn“lily plants”ḫ3“1,000,”sḫ3“remember.”"
M13,𓇅,Papyrus stem,"Phono.w3ḏ,wḏ."
M14,𓇆,Combination of M13 and I10,Phono.w3ḏ. Inw3ḏ wr“the sea.”
M15,𓇇,Papyrus clump with downward facing buds.,Phono.3ḫ. In3ḫ-bit“Chemmis.” Det. of Papyrus.
M16,𓇉,Papyrus clump,Phono.ḥ3. Inḥ3q“capture.” Det. in “The Delta.”
M17,𓇋,Reed leaf,"Phono.i. Phono.y, when doubled."
M18,𓇍,Combination of M17 + D54,Phonoi. Inii“come.”
M19,𓇎,Conical cakes between signs M17 and U36,Det. and Ideo. inʿ3bt“offering.”
M20,𓇏,Reed field,"Det.sḫt“marshland,”sm“occupation.”"
M21,𓇐,Reed field with root,"Det. insm“plant,” “help.”"
M22,𓇑,Rush with shoots,"Phono.nḫb. Phono.nn, when doubled. Innḫbt“germination,” “Nehkbet.”"
M23,𓇓,Sedge,Phono.sw. Ideo.nswt“king.”
M24,𓇔,Combination of M23 + D21,Ideo.rsw“south.”
M25,𓇖,Combination of M26 + M24,Use as M24.
M26,𓇗,Sedge,Phono.šmʿ. Ideo.šmʿwin “Upper Egypt.”
M27,𓇘,Combination of M26 + D36,Phono.šmʿ.
M28,𓇙,Combination of M26 + V20,Ideo. in titlewr mḏw šmʿw“Greatest of the tens of Upper Egypt.”
M29,𓇛,Pod,Phono.nḏm. Innḏm“sweet.
M30,𓇜,Root,Det. or Ideo.bnr“sweet.”
M31,𓇝,Rhizome,Det. inrd“grow.”
M32,𓇟,Var of M31,Use as M31
M33,𓇠,Grain,"Ideo. init“barley, corn.”"
M34,𓇣,Emmer sheaf,Det. or Ideo. inbti“emmer.”
M35,𓇤,Grain heap,Det. inʿḥʿw“heaps.”
M36,𓇥,Flax bundle,"Phono.ḏr. Inḏr“since,”nḏri“hold fast.”"
M37,𓇦,Flax bundle with stems,Phono.ḏr.
M38,𓇧,Flax bundle,"Det. inmḥʿ“flax,”dm3“bind together.”"
M39,𓇨,Basket of fruit or grain,Det. inrnpt“vegetables.”
M40,𓇩,Reed bundle,"Phonois. Inis“tomb,”iswt“crew.”"
M41,𓇫,Wood log,Det. inʿš“cedar.”
